"price","rep","creation.date","decision.date","start.date","status","client"
40.89,166,2004-01-02,2007-12-23,2004-03-31,0,239
126.68,15,2004-01-02,2004-08-14,2004-06-30,1,1066
93.8,289,2004-01-02,2004-08-14,2004-06-30,0,2355
84.16,145,2004-01-02,2004-08-14,2004-07-15,0,237
111.72,310,2004-01-02,2004-08-14,2004-12-31,0,1175
117.98,200,2004-01-02,2004-08-14,2004-01-09,1,270
95.07,118,2004-01-02,2004-08-14,2004-03-31,0,165
47.15,292,2004-01-02,2004-11-14,2004-03-31,0,44
29.14,142,2004-01-02,2004-08-14,2004-06-30,0,83
18.49,93,2004-01-02,2005-12-09,2004-12-28,0,2358
18.29,49,2004-01-02,2004-09-24,2004-12-02,0,5219
17.13,263,2004-01-02,2004-08-14,2004-04-02,0,230
34.14,142,2004-01-02,2004-10-30,2004-06-30,0,7
21.22,62,2004-01-02,2004-08-14,2004-03-30,1,307
17.6,10,2004-01-02,2004-08-14,2004-03-31,1,235
21.39,188,2004-01-02,2004-08-14,2004-03-31,1,443
170.99,22,2004-01-02,2004-08-14,2004-09-19,0,3448
17.14,205,2004-01-02,2006-02-25,2004-03-02,1,892
408.37,200,2004-01-02,2006-03-24,2004-03-31,0,5393
23.14,188,2004-01-02,2004-08-14,2004-03-30,1,1152
48.24,245,2004-01-03,2004-08-14,2004-06-30,0,202
16.38,28,2004-01-02,2004-12-10,2004-07-31,1,39
20.64,299,2004-01-03,2004-08-14,2004-12-31,1,3625
16.07,245,2004-01-03,2004-08-14,2004-06-30,0,220
45.53,59,2004-01-02,2004-08-14,2004-03-31,0,2190
48.96,112,2004-01-03,2004-08-14,2004-05-14,0,647
16.64,141,2004-01-03,2004-08-14,2004-03-01,1,175
56.32,184,2004-01-03,2004-08-14,2004-07-31,0,150
17.27,128,2004-01-03,2004-08-14,2004-10-31,0,156
58.29,22,2004-01-03,2004-08-14,2004-04-27,1,2479
154,245,2004-01-03,2004-08-16,2004-06-30,1,242
23.3,200,2004-01-03,2004-08-14,2004-03-30,0,33
26.23,112,2004-01-03,2005-01-15,2004-12-31,0,350
104.14,289,2004-01-03,2004-08-14,2004-06-30,0,53
262.82,53,2004-01-03,2004-08-14,2004-06-30,0,4749
209.52,185,2004-01-03,2004-08-14,2004-10-30,0,2095
50.66,112,2004-01-03,2004-11-30,2004-04-30,0,647
30.7,310,2004-01-03,2004-08-14,2004-12-30,1,5856
16.9,74,2004-01-03,2004-08-14,2004-03-31,1,5901
330.31,265,2004-01-03,2004-09-05,2004-01-31,0,982
20.57,154,2004-01-03,2004-08-14,2004-02-29,0,36
23.56,127,2004-01-02,2004-08-14,2004-06-27,0,83
298.54,299,2004-01-03,2006-09-05,2004-12-31,0,1815
18.88,98,2004-01-03,2004-10-10,2004-03-30,0,4642
35.94,93,2004-01-03,2005-01-11,2004-12-31,0,594
20.51,245,2004-01-03,2004-08-14,2004-06-30,0,220
27.8,200,2004-01-03,2004-08-21,2004-04-30,0,33
33.16,289,2004-01-03,2004-08-14,2004-06-30,0,2158
20.66,154,2004-01-03,2005-01-21,2004-02-29,0,304
574.43,33,2004-01-03,2005-11-11,2005-01-09,1,512
36.7,205,2004-01-03,2004-08-14,2004-03-03,0,892
17.63,295,2004-01-03,2005-03-22,2004-11-15,0,4035
22.48,10,2004-01-03,2004-09-03,2004-03-31,1,240
17.79,169,2004-01-03,2004-08-14,2004-03-30,1,323
38.97,298,2004-01-04,2004-08-14,2004-04-04,0,78
342.68,142,2004-01-04,2004-12-13,2004-12-31,0,7
142.14,169,2004-01-04,2004-08-21,2004-05-31,0,83
66.42,303,2004-01-04,2004-08-14,2004-10-31,0,3545
43.86,22,2004-01-04,2004-08-14,2004-09-24,1,3926
334.85,142,2004-01-04,2004-11-22,2004-12-31,0,7
45.86,205,2004-01-04,2004-08-16,2004-03-30,1,892
115.36,226,2004-01-04,2004-08-14,2004-03-30,0,246
25.71,236,2004-01-04,2004-08-14,2004-03-04,0,255
75.14,169,2004-01-04,2004-08-14,2004-03-31,1,181
36.49,6,2004-01-04,2004-09-21,2004-10-29,0,3379
28.57,244,2004-01-04,2005-11-29,2004-03-30,1,251
34.71,120,2004-01-04,2004-10-25,2004-05-20,0,1119
36.09,89,2004-01-04,2004-08-14,2004-03-31,1,5677
218.62,273,2004-01-04,2004-08-14,2004-04-30,1,214
15.32,171,2004-01-04,2005-10-15,2006-04-04,0,4088
29.72,289,2004-01-04,2004-11-07,2004-12-31,0,247
16.24,80,2004-01-04,2004-08-14,2004-05-25,0,1080
